date,time,wasRecord,name,recordDurationDays
1602331200,8245,false,Mazmot,
1602417600,7924,false,Ximoltus,
1602417600,8159,false,Mazmot,
1602417600,9338,false,theElss,
1602504000,8332,false,Franqly,
1602504000,10529,false,Cobai,
1602504000,11459,false,seky16,
1602590400,8121,false,Franqly,
1602676800,7948,false,BumbleBeeRider,
1602763200,7616,false,BumbleBeeRider,
1602763200,7814,false,Franqly,
1602763200,7829,false,Ximoltus,
1602763200,10424,false,ardoRic,
1602849600,7513,false,Franqly,
1602936000,7193,false,Mazmot,
1602936000,7305,false,Franqly,
1602936000,9238,false,theElss,
1602936000,9309,false,GoneSerious,
1602936000,10314,false,Cobai,
1602936000,10877,false,seky16,
1603022400,10470,false,Dorfus,
1603022400,10612,false,Xoriun,
1603022400,17057,false,Pentbot,
1603108800,7291,false,Franqly,
1603108800,9876,false,ardoRic,
1603108800,10172,false,Cobai,
1603195200,5975,true,Phoenix27833,45
1603195200,8987,false,theElss,
1603195200,10212,false,Xoriun,
1603195200,24585,false,pti_renard,
1603281600,9180,false,GoneSerious,
1603368000,7185,false,Franqly,
1603368000,9337,false,seky16,
1603368000,10063,false,Dorfus,
1603454400,6987,false,Franqly,
1603454400,9150,false,GoneSerious,
1603540800,7763,false,Ximoltus,
1603627200,7064,false,Mazmot,
1603627200,8997,false,GoneSerious,
1603627200,9916,false,Cobai,
1603713600,9856,false,Xoriun,
1603713600,11015,false,i3luemotion,
1603713600,12849,false,mgrabmue,
1603800000,6714,false,Franqly,
1603886400,6619,false,Franqly,
1603886400,7475,false,Ximoltus,
1603972800,7464,false,Ximoltus,
1604059200,8735,false,GoneSerious,
1604059200,9734,false,Dorfus,
1604145600,10972,false,whiteleaky,
1604232000,6708,false,Mazmot,
1604232000,9781,false,Cobai,
1604318400,6422,false,Franqly,
1604318400,9665,false,ardoRic,
1604664000,14222,false,PCiT,
1604750400,8727,false,10thCircle,
1604836800,9529,false,Cobai,
1604836800,9599,false,Dorfus,
1604923200,6338,false,Franqly,
1605009600,12027,false,mgrabmue,
1605355200,13886,false,Del_la_vega_,
1605355200,27840,false,Dedleewicket,
1605441600,6636,false,Mazmot,
1605441600,9004,false,Dorfus,
1605700800,6186,false,Nefrums,
1605787200,6349,false,Mazmot,
1605787200,16728,false,JustJam,
1605873600,6331,false,Franqly,
1605873600,10498,false,Bazz2599,
1605873600,13834,false,DonBalls,
1605960000,9730,false,Xoriun,
1606046400,9581,false,Xoriun,
1606132800,6014,false,Nefrums,
1606132800,6294,false,Franqly,
1606219200,14051,false,JustJam,
1606305600,6193,false,Franqly,
1606478400,6001,false,Nefrums,
1606478400,9629,false,ardoRic,
1606651200,10125,false,Bazz2599,
1606824000,7461,false,Ximoltus,
1606824000,12699,false,JustJam,
1606824000,21278,false,Arran,
1606910400,7138,false,Ximoltus,
1606996800,12321,false,JustJam,
1607083200,5938,true,Nefrums,46
1607169600,8757,false,Flaggi793,
1607169600,11760,false,JustJam,
1607256000,8142,false,Flaggi793,
1607515200,6771,false,Ximoltus,
1607601600,8729,false,Dorfus,
1607860800,6518,false,Ximoltus,
1608033600,8107,false,10thCircle,
1608120000,8675,false,ardoRic,
1608120000,21734,false,Nauviax,
1608379200,17364,false,Nauviax,
1608465600,25341,false,ArbitraryDice,
1608638400,14997,false,pti_renard,
1608897600,10231,false,qwe19272375,
1609156800,6019,false,Franqly,
1609329600,14448,false,AwesomeSeal,
1609416000,12570,false,pti_renard,
1609416000,15822,false,Taishan,
1609502400,12446,false,Taishan,
1609761600,11096,false,JustJam,
1609848000,15220,false,Stig219,
1609848000,18313,false,Rainiyh,
1609934400,11676,false,Taishan,
1609934400,15897,false,Rainiyh,
1610020800,20489,false,fortyCakes,
1610280000,13569,false,Bjeaurn,
1610280000,14406,false,grdman,
1610366400,10709,false,JustJam,
1610452800,10263,false,JustJam,
1610539200,12036,false,Stig219,
1610625600,10165,false,JustJam,
1610625600,12932,false,grdman,
1610884800,17107,false,ChuckMastaT,
1610971200,12452,false,wollywog,
1610971200,12981,false,kaerli,
1611057600,5935,true,Franqly,3
1611144000,11538,false,Stig219,
1611230400,11372,false,Eightounce,
1611316800,5821.25,true,Franqly,77
1611316800,15874,false,ikamusme,
1611403200,11546,false,wollywog,
1611921600,8250,false,P1tta,
1611921600,12694,false,TheStickface,
1612180800,7963,false,P1tta,
1612440000,11501,false,kaerli,
1612872000,13888,false,cafce25,
1615032000,27587,false,whirlwind8429,
1616241600,23827,false,Holyblades777,
1616328000,12177,false,Lumis31,
1616760000,5821.383,false,Nefrums,
1616846400,10953,false,cl0wnt0wn,
1617105600,17377,false,Archegos,
1617192000,14759,false,Archegos,
1617710400,13750,false,Krul87,
1617969600,5797,true,Franqly,1
1618056000,5761,true,Franqly,2
1618056000,12530,false,Krul87,
1618228800,5674,true,Franqly,9
1618920000,9537,false,sleepyre,
1619006400,5640,true,Franqly,8
1619006400,5728,false,Nefrums,
1619611200,11405,false,Nefa35,
1619697600,5594,true,Franqly,3
1619697600,11187,false,Nefa35,
1619870400,10490,false,Nefa35,
1619870400,32087,false,meznak,
1619956800,5582,true,Franqly,1
1619956800,12917,false,Cyclomactic,
1620043200,5523,true,Franqly,3
1620129600,12205,false,Olivedonut,
1620216000,12822,false,Cyclomactic,
1620302400,5488,true,Franqly,27
1620388800,9217,false,Skarasnik,
1620475200,12394,false,Cyclomactic,
1620475200,23683,false,Yivry,
1620648000,17444,false,Redrex_7,
1620734400,10228,false,heartosis,
1620820800,5697,false,Nefrums,
1620820800,9682,false,Nefa35,
1620907200,9819,false,heartosis,
1620993600,7355,false,P1tta,
1620993600,11199,false,Olivedonut,
1620993600,19105,false,Yivry,
1621080000,9118,false,Nefa35,
1621080000,9364,false,heartosis,
1621080000,10834,false,Olivedonut,
1621166400,10101,false,Olivedonut,
1621166400,15244,false,Redrex_7,
1621252800,13076,false,Warger,
1621339200,6977,false,P1tta,
1621339200,8008,false,Flaggi793,
1621339200,11080,false,Krul87,
1621339200,18597,false,Yivry,
1621425600,5545,false,Nefrums,
1621425600,7458,false,BumbleBeeRider,
1621512000,6796,false,P1tta,
1621512000,7191,false,BumbleBeeRider,
1621512000,8929,false,Nefa35,
1621512000,16337,false,Yivry,
1621598400,9174,false,heartosis,
1621684800,6642,false,P1tta,
1621684800,8714,false,Nefa35,
1621684800,13958,false,Redrex_7,
1621771200,16076,false,Alkyl35,
1621857600,6953,false,BumbleBeeRider,
1621944000,6411,false,P1tta,
1621944000,10805,false,Krul87,
1621944000,15028,false,Yivry,
1622030400,6845,false,BumbleBeeRider,
1622030400,7717,false,Flaggi793,
1622289600,6759,false,BumbleBeeRider,
1622289600,23660,false,kungfuwerewolf,
1622376000,6246,false,P1tta,
1622376000,10583,false,Krul87,
1622376000,22591,false,kungfuwerewolf,
1622462400,21800,false,kungfuwerewolf,
1622548800,6701,false,BumbleBeeRider,
1622635200,5383,true,Franqly,47
1622635200,5534,false,Nefrums,
1622721600,6204,false,P1tta,
1622894400,6150,false,P1tta,
1622894400,10153,false,Krul87,
1622894400,10565,false,Zaspar,
1622894400,13697,false,Yivry,
1622894400,19455,false,neuro666,
1622894400,25398,false,rikimaru,
1622980800,6649,false,BumbleBeeRider,
1622980800,9167,false,unique_2,
1622980800,12067,false,JanSharp,
1622980800,13562,false,Redrex_7,
1622980800,20174,false,kungfuwerewolf,
1623153600,6113,false,P1tta,
1623153600,8910,false,heartosis,
1623240000,8799,false,Cobai,
1623240000,10826,false,wollywog,
1623326400,6091,false,P1tta,
